,PLAYER_NAME,PLAYER_ID,cluster,cluster_name
317,Miles Bridges,1628970,8,Versatile Wings
318,Miles McBride,1630540,0,3-and-D Wings
319,Mitchell Robinson,1629011,2,Rim Runners
320,Mo Bamba,1628964,9,Backup Bigs
321,Monte Morris,1628420,6,Backup PGs
322,Moritz Wagner,1629021,2,Rim Runners
323,Moses Brown,1629650,9,Backup Bigs
324,Moses Moody,1630541,1,Floor Spacers
325,Myles Turner,1626167,4,Athletic Forwards
326,Naji Marshall,1630230,1,Floor Spacers
327,Nassir Little,1629642,1,Floor Spacers
328,Nate Williams,1631466,10,Stretch Bigs
329,Nathan Mensah,1641877,9,Backup Bigs
330,Naz Reid,1629675,4,Athletic Forwards
331,Neemias Queta,1629674,9,Backup Bigs
332,Nic Claxton,1629651,2,Rim Runners
333,Nick Richards,1630208,2,Rim Runners
334,Nick Smith Jr.,1641733,1,Floor Spacers
335,Nickeil Alexander-Walker,1629638,0,3-and-D Wings
336,Nicolas Batum,201587,1,Floor Spacers
337,Nikola Jokić,203999,7,Elite Offensive Bigs
338,Nikola Jović,1631107,1,Floor Spacers
339,Nikola Vučević,202696,7,Elite Offensive Bigs
340,Noah Clowney,1641730,10,Stretch Bigs
341,Norman Powell,1626181,0,3-and-D Wings
342,OG Anunoby,1628384,0,3-and-D Wings
343,Obi Toppin,1630167,4,Athletic Forwards
344,Ochai Agbaji,1630534,1,Floor Spacers
345,Olivier-Maxence Prosper,1641765,5,Role Players
346,Omer Yurtseven,1630209,9,Backup Bigs
347,Onuralp Bitim,1641931,1,Floor Spacers
348,Onyeka Okongwu,1630168,2,Rim Runners
349,Orlando Robinson,1631115,9,Backup Bigs
350,Oshae Brissett,1629052,10,Stretch Bigs
351,Ousmane Dieng,1631172,1,Floor Spacers
352,P.J. Tucker,200782,1,Floor Spacers
353,P.J. Washington,1629023,4,Athletic Forwards
354,Paolo Banchero,1631094,8,Versatile Wings
355,Pascal Siakam,1627783,8,Versatile Wings
356,Pat Connaughton,1626192,1,Floor Spacers
357,Patrick Baldwin Jr.,1631116,10,Stretch Bigs
358,Patrick Beverley,201976,6,Backup PGs
359,Patrick Williams,1630172,0,3-and-D Wings
360,Patty Mills,201988,1,Floor Spacers
361,Paul George,202331,8,Versatile Wings
362,Paul Reed,1630194,9,Backup Bigs
363,Payton Pritchard,1630202,6,Backup PGs
364,Peyton Watson,1631212,1,Floor Spacers
365,Precious Achiuwa,1630173,9,Backup Bigs
366,Quentin Grimes,1629656,1,Floor Spacers
367,RJ Barrett,1629628,8,Versatile Wings
368,Rayan Rupert,1641712,5,Role Players
369,Reggie Bullock Jr.,203493,1,Floor Spacers
370,Reggie Jackson,202704,6,Backup PGs
371,Richaun Holmes,1626158,9,Backup Bigs
372,Ricky Council IV,1641741,10,Stretch Bigs
373,Robert Covington,203496,1,Floor Spacers
374,Royce O'Neale,1626220,1,Floor Spacers
375,Rudy Gobert,203497,2,Rim Runners
376,Rui Hachimura,1629060,4,Athletic Forwards
377,Russell Westbrook,201566,6,Backup PGs
378,Ryan Arcidiacono,1627853,5,Role Players
379,Saben Lee,1630240,6,Backup PGs
380,Saddiq Bey,1630180,0,3-and-D Wings
381,Sam Hauser,1630573,1,Floor Spacers
382,Sam Merrill,1630241,1,Floor Spacers
383,Sandro Mamukelashvili,1630572,10,Stretch Bigs
384,Santi Aldama,1630583,4,Athletic Forwards
385,Sasha Vezenkov,1628426,1,Floor Spacers
386,Scoot Henderson,1630703,3,Secondary Scoring Guards
387,Scottie Barnes,1630567,8,Versatile Wings
388,Scotty Pippen Jr.,1630590,3,Secondary Scoring Guards
389,Seth Curry,203552,1,Floor Spacers
390,Shaedon Sharpe,1631101,0,3-and-D Wings
391,Shai Gilgeous-Alexander,1628983,11,Elite Scoring Guards
392,Shake Milton,1629003,1,Floor Spacers
393,Simone Fontecchio,1631323,0,3-and-D Wings
394,Skylar Mays,1630219,6,Backup PGs
395,Spencer Dinwiddie,203915,6,Backup PGs
396,Stanley Umude,1630649,1,Floor Spacers
397,Stephen Curry,201939,11,Elite Scoring Guards
398,Svi Mykhailiuk,1629004,1,Floor Spacers
399,T.J. McConnell,204456,3,Secondary Scoring Guards
400,Taj Gibson,201959,10,Stretch Bigs
401,Talen Horton-Tucker,1629659,6,Backup PGs
402,Tari Eason,1631106,4,Athletic Forwards
403,Taurean Prince,1627752,0,3-and-D Wings
404,Taylor Hendricks,1641707,1,Floor Spacers
405,Terance Mann,1629611,1,Floor Spacers
406,Terry Rozier,1626179,3,Secondary Scoring Guards
407,Terry Taylor,1630678,9,Backup Bigs
408,Thaddeus Young,201152,9,Backup Bigs
409,Thanasis Antetokounmpo,203648,5,Role Players
410,Thomas Bryant,1628418,9,Backup Bigs
411,Tim Hardaway Jr.,203501,0,3-and-D Wings
412,Tobias Harris,202699,4,Athletic Forwards
413,Torrey Craig,1628470,1,Floor Spacers
414,Toumani Camara,1641739,10,Stretch Bigs
415,Trae Young,1629027,11,Elite Scoring Guards
416,Trayce Jackson-Davis,1631218,9,Backup Bigs
417,Tre Jones,1630200,3,Secondary Scoring Guards
418,Tre Mann,1630544,6,Backup PGs
419,Trendon Watford,1630570,10,Stretch Bigs
420,Trent Forrest,1630235,5,Role Players
421,Trey Jemison III,1641998,2,Rim Runners
422,Trey Lyles,1626168,1,Floor Spacers
423,Trey Murphy III,1630530,0,3-and-D Wings
424,Tristan Thompson,202684,9,Backup Bigs
425,Troy Brown Jr.,1628972,1,Floor Spacers
426,Tyler Herro,1629639,3,Secondary Scoring Guards
427,Tyrese Haliburton,1630169,3,Secondary Scoring Guards
428,Tyrese Maxey,1630178,11,Elite Scoring Guards
429,Tyus Jones,1626145,3,Secondary Scoring Guards
430,Vasilije Micic,203995,6,Backup PGs
431,Victor Wembanyama,1641705,8,Versatile Wings
432,Vince Williams Jr.,1631246,0,3-and-D Wings
433,Vít Krejčí,1630249,1,Floor Spacers
434,Walker Kessler,1631117,2,Rim Runners
435,Wendell Carter Jr.,1628976,4,Athletic Forwards
436,Wendell Moore Jr.,1631111,5,Role Players
437,Wesley Matthews,202083,1,Floor Spacers
438,Xavier Tillman,1630214,10,Stretch Bigs
439,Yuta Watanabe,1629139,1,Floor Spacers
440,Zach Collins,1628380,4,Athletic Forwards
441,Zach LaVine,203897,3,Secondary Scoring Guards
442,Zeke Nnaji,1630192,9,Backup Bigs
443,Ziaire Williams,1630533,1,Floor Spacers
444,Zion Williamson,1629627,11,Elite Scoring Guards
